Student ID,Outcome,Reason,Job Seeking,Previous Salary,New Salary,Salary Delta,Filtered New Salary,Filtered Salary Delta,Delta when Below 60K,Repeated a Module,Filtered Repeated,,Gender Identity,Filtered Gender,Racial Identity,Filtered Racial,,Veteran Status,Filtered Veteran,,Highest Degree,Filtered W/O Degree,,Job Hunt Length,Filtered Job Hunt,,Job Title,Filtered Job Title
949,finished,academic drop out,Yes,"$60,000",,,,,,Repeated more than one module,,,Male,,Black or African American,,,No,,,Bachelor's degree,,,Did not graduate,,,God,
963,graduated,,Yes,"$25,000",,,,,,None,None,,Female,Female,Hispanic or Latino,Hispanic or Latino,,No,No,,Trade or vocational certification,Trade or vocational certification,,No Offers or Did Not Seek,No Offers or Did Not Seek,,0,0
979,graduated,,Yes,"$95,000","$85,000","-$10,000","$85,000","-$10,000",,None,None,,Male,Male,White,White,,Yes,Yes,,Master's degree,Master's degree,,0-30 days,0-30 days,,Software Engineer,Software Engineer
986,enrolled,,,,,,,,,,,,Male,,White,,,,,,,,,,,,,
987,graduated,,Yes,"$45,000","$65,000","$20,000","$65,000","$20,000","$20,000",None,None,,Female,Female,"Asian/Pacific Islander, Other","Asian/Pacific Islander, Other",,No,No,,Bachelor's degree,Bachelor's degree,,I received an offer before graduation,I received an offer before graduation,,Junior software developer,Junior software developer
989,did not finish,academic drop out,Yes,"$72,000",,,,,,Repeated more than one module,,,Male,,White,,,No,,,Some additional training; incomplete degree or certification,,,Did not graduate,,,none,
1008,graduated,,Yes,"$30,000","$65,000","$35,000","$65,000","$35,000","$35,000",None,None,,Female,Female,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,31-60 days,31-60 days,,Junior Software Developer,Junior Software Developer
1011,finished,employed,Yes,,,,,,,,,,Male,,White,,,,,,,,,,,,,
1020,did not finish,elective drop out,No,"$29,000",,,,,,None,,,Male,,White,,,No,,,Bachelor's degree,,,Did not graduate,,,NA,
1037,graduated,,Yes,"$20,000",,,,,,None,None,,Male,Male,White,White,,No,No,,High School Diploma or equivalent,High School Diploma or equivalent,,120+ days,120+ days,,N/A,N/A
1074,enrolled,,,,,,,,,,,,Male,,White,,,,,,,,,,,,,
1108,graduated,,Yes,"$48,000","$72,000","$24,000","$72,000","$24,000","$24,000",None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,0-30 days,0-30 days,,Jr. Full Stack Developer,Jr. Full Stack Developer
1118,graduated,,Yes,"$80,000","$68,500","-$11,500","$68,500","-$11,500",,None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,0-30 days,0-30 days,,Junior Software Developer,Junior Software Developer
1120,graduated,,Yes,"$27,000",,,,,,None,None,,Male,Male,White,White,,No,No,,Associate's degree,Associate's degree,,61-90 days,61-90 days,,Software Engineer,Software Engineer
1163,graduated,,Yes,"$22,000",,,,,,Repeated more than one module,Repeated more than one module,,Male,Male,White,White,,No,No,,Some additional training; incomplete degree or certification,Some additional training; incomplete degree or certification,,No Offers or Did Not Seek,No Offers or Did Not Seek,,N/A,N/A
1205,graduated,,Yes,"$45,000","$95,000","$50,000","$95,000","$50,000","$50,000",None,None,,Male,Male,White,White,,No,No,,Master's degree,Master's degree,,61-90 days,61-90 days,,Software Developer,Software Developer
1228,graduated,,Yes,"$40,000","$100,000","$60,000","$100,000","$60,000","$60,000",None,None,,Female,Female,Asian/Pacific Islander,Asian/Pacific Islander,,No,No,,Bachelor's degree,Bachelor's degree,,0-30 days,0-30 days,,Software Engineer,Software Engineer
1266,did not finish,academic drop out,,,,,,,,,,,Female,,White,,,,,,,,,,,,,
1283,graduated,,Yes,"$72,000","$82,000","$10,000","$82,000","$10,000",,None,None,,Male,Male,Asian/Pacific Islander,Asian/Pacific Islander,,No,No,,Bachelor's degree,Bachelor's degree,,61-90 days,61-90 days,,Developer,Developer
